Query	Subject	Query_length	BitScore_corrected	Evalue	Coverage	Similarity
Ae_bicornis_Tr406_BIS2_Contig10002_simExt	TraesCS5A02G302800	737	1.84758250272844	0	0.995929443690638	95.257
Ae_bicornis_Tr406_BIS2_Contig10003_simExt	TraesCS5A02G363200	1058	2.07453839110351	0	0.998109640831758	95.656
Ae_bicornis_Tr406_BIS2_Contig10007_simExt	TraesCS7A02G173500	2208	1.6903003446578	1.22895125553914e-45	0.919384057971015	97.2432689655172
Ae_bicornis_Tr406_BIS2_Contig10013_simExt	TraesCS2A02G323100	4340	1.68419903972065	2.53136839807944e-43	0.987557603686636	97.4179395706953
Ae_bicornis_Tr406_BIS2_Contig10014	TraesCS4A02G415500	426	1.36111111111111	5.82121212121212e-49	0.903755868544601	91.9813012987013
Ae_bicornis_Tr406_BIS2_Contig10019_simExt	TraesCS4A02G040400	1897	1.95782871984966	0	1	96.523
Ae_bicornis_Tr406_BIS2_Contig10020_simExt	TraesCS5A02G153300	976	1.8406609784189	0	0.808401639344262	96.198
Ae_bicornis_Tr406_BIS2_Contig10030_simExt	TraesCS5A02G434400	3492	1.65293691080493	0	0.994558991981672	96.6687529513389
Ae_bicornis_Tr406_BIS2_Contig10035_simExt	TraesCS1A02G274400	1480	2.01783629384241	0	0.852702702702703	97.165
Ae_bicornis_Tr406_BIS2_Contig10038_simExt	TraesCS6A02G069300	1165	2.03941821790789	0	0.991416309012876	94.918
Ae_bicornis_Tr406_BIS2_Contig10046_simExt	TraesCS6A02G302800	1197	1.7220367278798	1.43676961602671e-104	1	97.7464150654414
Ae_bicornis_Tr406_BIS2_Contig10047_simExt	TraesCS1A02G097600	1004	2.20994406154777	0	1	97.51
Ae_bicornis_Tr406_BIS2_Contig10054_simExt	TraesCS5A02G060700	1384	1.42872570194384	1.68286537077034e-30	1	92.8000751445087
Ae_bicornis_Tr406_BIS2_Contig10056_simExt	TraesCS6A02G146000	467	1.29440251269507	0	1	93.362
Ae_bicornis_Tr406_BIS2_Contig10063_simExt	TraesCS3A02G328700	910	1.40128755364807	0	0.996703296703297	92.597
Ae_bicornis_Tr406_BIS2_Contig10066_simExt	TraesCS2A02G153000	2057	1.4351324828263	4.16045142296369e-18	0.974234321827905	93.0326646706587
Ae_bicornis_Tr406_BIS2_Contig10069_ESTScan	TraesCS2A02G243400	521	1.47336561743341	2.48607748184019e-12	0.882917466410749	93.5941974637681
Ae_bicornis_Tr406_BIS2_Contig10070_simExt	TraesCS5A02G400400	2467	1.69739342926962	0	0.995541143088772	97.3678117535288
Ae_bicornis_Tr406_BIS2_Contig10073_simExt	TraesCS1A02G145000	2149	1.88922288289217	0	0.892042810609586	98.07
Ae_bicornis_Tr406_BIS2_Contig10074_simExt	TraesCS5A02G036200	1510	2.14456138591992	0	0.963576158940397	97.39
Ae_bicornis_Tr406_BIS2_Contig1008_simExt	TraesCS4A02G351900	2783	1.52380952380952	1.85424908424908e-71	0.978440531800216	94.3664641939038
Ae_bicornis_Tr406_BIS2_Contig10080_simExt	TraesCS6A02G353600	1331	2.18432206895139	0	0.997746055597295	96.931
Ae_bicornis_Tr406_BIS2_Contig10085_simExt	TraesCS4A02G070900	620	1.68653846153846	1.76884615384615e-22	0.838709677419355	97.1150192307692
Ae_bicornis_Tr406_BIS2_Contig10095_simExt	TraesCS5A02G027400	1736	1.2508064516129	7.60483870967742e-33	0.921082949308756	91.3965626433187
