Species Same_chr4 Same_rec4 Same_rec2 Same_rec2
Ae_bicornis 0.966872427983539 0.784511047910742 0.993415637860082 0.984904834828265
Ae_caudata 0.96771668949325 0.783789386401327 0.993347681471336 0.977819237147595
Ae_comosa 0.965419501133787 0.785571542765787 0.992252456538171 0.984012789768185
Ae_longissima 0.968432919954904 0.782270916334661 0.992108229988726 0.985458167330677
Ae_mutica 0.968786808009423 0.779622328283876 0.99332548095799 0.973230960780245
Ae_searsii 0.96854967948718 0.79 0.9921875 0.984042553191489
Ae_sharonensis 0.966180003696174 0.789731530472271 0.992977268527074 0.985694689398393
Ae_speltoides 0.96824810780875 0.784862116174457 0.992246630976555 0.984940348132212
Ae_tauschii 0.968139963167587 0.776736924277908 0.993001841620626 0.98224043715847
Ae_umbellulata 0.964387974230494 0.777630331753554 0.992483894058697 0.985592417061611
Ae_uniaristata 0.968338737364104 0.780286232614392 0.992942971581156 0.983874218907478
T_boeticum 0.964858080710562 0.782011882810899 0.992855763660938 0.986478180700676
T_urartu 0.96787583468688 0.775467378863029 0.99278108644649 0.98683708508203
