start, end, rate
2404000, 2404999, 2.40634e-07
2407000, 2407999, 2.41747e-07
2410000, 2410999, 2.42865e-07
2413000, 2413999, 2.43989e-07
2416000, 2416999, 2.45117e-07
2419000, 2419999, 2.46251e-07
2422000, 2422999, 2.4739e-07
2425000, 2425999, 2.48534e-07
2428000, 2428999, 2.49683e-07
2431000, 2431999, 2.50838e-07
2434000, 2434999, 2.51998e-07
2437000, 2437999, 2.53164e-07
2440000, 2440999, 2.54335e-07
2443000, 2443999, 2.55511e-07
2446000, 2446999, 2.56693e-07
2449000, 2449999, 2.5788e-07
2452000, 2452999, 2.59073e-07
2455000, 2455999, 2.60271e-07
2458000, 2458999, 2.61475e-07
2461000, 2461999, 2.62684e-07
2464000, 2464999, 2.63899e-07
2467000, 2467999, 2.6512e-07
2470000, 2470999, 2.66346e-07
2473000, 2473999, 2.67578e-07
2476000, 2476999, 2.68815e-07
2479000, 2479999, 2.70059e-07
2482000, 2482999, 2.71308e-07
2485000, 2485999, 2.72562e-07
2488000, 2488999, 2.73823e-07
2491000, 2491999, 2.75089e-07
2494000, 2494999, 2.76362e-07
2497000, 2497999, 2.7764e-07
2500000, 2500999, 2.78924e-07
2503000, 2503999, 2.80214e-07
2506000, 2506999, 2.8151e-07
2509000, 2509999, 2.82812e-07
2512000, 2512999, 2.8412e-07
2515000, 2515999, 2.85434e-07
2518000, 2518999, 2.86754e-07
2521000, 2521999, 2.88081e-07
2524000, 2524999, 2.89413e-07
2527000, 2527999, 2.90752e-07
2530000, 2530999, 2.92096e-07
2533000, 2533999, 2.93447e-07
2536000, 2536999, 2.94804e-07
2539000, 2539999, 2.96168e-07
2542000, 2542999, 2.97538e-07
2545000, 2545999, 2.98914e-07
2548000, 2548999, 3.00296e-07
2551000, 2551999, 3.01685e-07
2554000, 2554999, 3.03081e-07
2557000, 2557999, 3.04482e-07
2560000, 2560999, 3.05891e-07
2563000, 2563999, 3.07305e-07
2566000, 2566999, 3.08727e-07
2569000, 2569999, 3.10155e-07
2572000, 2572999, 3.11589e-07
2575000, 2575999, 3.1303e-07
2578000, 2578999, 3.14478e-07
2581000, 2581999, 3.15932e-07
2584000, 2584999, 3.17394e-07
2587000, 2587999, 3.18862e-07
2590000, 2590999, 3.20336e-07
2593000, 2593999, 3.21818e-07
2596000, 2596999, 3.23306e-07
2599000, 2599999, 3.24802e-07
2602000, 2602999, 3.26304e-07
2605000, 2605999, 3.27813e-07
2608000, 2608999, 3.29329e-07
2611000, 2611999, 3.30852e-07
2614000, 2614999, 3.32383e-07
2617000, 2617999, 3.3392e-07
2620000, 2620999, 3.35464e-07
2623000, 2623999, 3.37016e-07
2626000, 2626999, 3.38575e-07
2629000, 2629999, 3.4014e-07
2632000, 2632999, 3.41714e-07
2635000, 2635999, 3.43294e-07
2638000, 2638999, 3.44882e-07
2641000, 2641999, 3.46477e-07
2644000, 2644999, 3.48079e-07
2647000, 2647999, 3.49689e-07
2650000, 2650999, 3.51307e-07
2653000, 2653999, 3.52931e-07
2656000, 2656999, 3.54564e-07
2659000, 2659999, 3.56204e-07
2662000, 2662999, 3.57851e-07
2665000, 2665999, 3.59506e-07
2668000, 2668999, 3.61169e-07
2671000, 2671999, 3.62839e-07
2674000, 2674999, 3.64518e-07
2677000, 2677999, 3.66203e-07
2680000, 2680999, 3.67897e-07
2683000, 2683999, 3.69599e-07
2686000, 2686999, 3.71308e-07
2689000, 2689999, 3.73025e-07
2692000, 2692999, 3.74751e-07
2695000, 2695999, 3.76484e-07
2698000, 2698999, 3.78225e-07
2701000, 2701999, 3.79975e-07
2704000, 2704999, 3.81732e-07
2707000, 2707999, 3.83497e-07
2710000, 2710999, 3.85271e-07
2713000, 2713999, 3.87053e-07
2716000, 2716999, 3.88843e-07
2719000, 2719999, 3.90642e-07
2722000, 2722999, 3.92448e-07
2725000, 2725999, 3.94263e-07
2728000, 2728999, 3.96087e-07
2731000, 2731999, 3.97919e-07
2734000, 2734999, 3.99759e-07
2737000, 2737999, 4.01608e-07
2740000, 2740999, 4.03466e-07
2743000, 2743999, 4.05332e-07
2746000, 2746999, 4.07206e-07
2749000, 2749999, 4.0909e-07
2752000, 2752999, 4.10982e-07
2755000, 2755999, 4.12883e-07
2758000, 2758999, 4.14792e-07
2761000, 2761999, 4.16711e-07
2764000, 2764999, 4.18638e-07
2767000, 2767999, 4.20574e-07
2770000, 2770999, 4.22519e-07
2773000, 2773999, 4.24474e-07
2776000, 2776999, 4.26437e-07
2779000, 2779999, 4.28409e-07
2782000, 2782999, 4.3039e-07
2785000, 2785999, 4.32381e-07
2788000, 2788999, 4.34381e-07
2791000, 2791999, 4.3639e-07
2794000, 2794999, 4.38408e-07
2797000, 2797999, 4.40436e-07
2800000, 2800999, 4.42473e-07
2803000, 2803999, 4.44519e-07
2806000, 2806999, 4.46575e-07
2809000, 2809999, 4.48641e-07
2812000, 2812999, 4.50716e-07
2815000, 2815999, 4.528e-07
2818000, 2818999, 4.54895e-07
2821000, 2821999, 4.56999e-07
2824000, 2824999, 4.59112e-07
2827000, 2827999, 4.61236e-07
2830000, 2830999, 4.63369e-07
2833000, 2833999, 4.65512e-07
2836000, 2836999, 4.67665e-07
2839000, 2839999, 4.69828e-07
2842000, 2842999, 4.72001e-07
2845000, 2845999, 4.74184e-07
2848000, 2848999, 4.76377e-07
2851000, 2851999, 4.7858e-07
2854000, 2854999, 4.80794e-07
2857000, 2857999, 4.83018e-07
2860000, 2860999, 4.85251e-07
2863000, 2863999, 4.87496e-07
2866000, 2866999, 4.89751e-07
2869000, 2869999, 4.92016e-07
2872000, 2872999, 4.94291e-07
2875000, 2875999, 4.96577e-07
2878000, 2878999, 4.98874e-07
2881000, 2881999, 5.01181e-07
2884000, 2884999, 5.03499e-07
2887000, 2887999, 5.05828e-07
2890000, 2890999, 5.08168e-07
2893000, 2893999, 5.10518e-07
2896000, 2896999, 5.12879e-07
2899000, 2899999, 5.15251e-07
2902000, 2902999, 5.17634e-07
2905000, 2905999, 5.20028e-07
2908000, 2908999, 5.22433e-07
2911000, 2911999, 5.2485e-07
2914000, 2914999, 5.27277e-07
2917000, 2917999, 5.29716e-07
2920000, 2920999, 5.32166e-07
2923000, 2923999, 5.34627e-07
2926000, 2926999, 5.371e-07
2929000, 2929999, 5.39584e-07
2932000, 2932999, 5.4208e-07
2935000, 2935999, 5.44587e-07
2938000, 2938999, 5.47106e-07
2941000, 2941999, 5.49636e-07
2944000, 2944999, 5.52178e-07
2947000, 2947999, 5.54732e-07
2950000, 2950999, 5.57298e-07
2953000, 2953999, 5.59875e-07
2956000, 2956999, 5.62465e-07
2959000, 2959999, 5.65066e-07
2962000, 2962999, 5.67679e-07
2965000, 2965999, 5.70305e-07
2968000, 2968999, 5.72943e-07
2971000, 2971999, 5.75593e-07
2974000, 2974999, 5.78255e-07
2977000, 2977999, 5.80929e-07
2980000, 2980999, 5.83616e-07
2983000, 2983999, 5.86315e-07
2986000, 2986999, 5.89027e-07
2989000, 2989999, 5.91751e-07
2992000, 2992999, 5.94488e-07
2995000, 2995999, 5.97238e-07
2998000, 2998999, 6.0e-07

