Species Windows piS_obs piS_est Fis_obs Fis_est u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_searsii 1cM 0.00154947114830334 0.513287572423564 0.9 0.957640484404456 1.09415093119907e-09 0.00787611556721606 9.4042516661073e-10 0.00797328737447993 8.04157165446527e-10 0.571017723123612 -947.402709372484 -845.435281315975 -481.987187266191 0.219089014468284 0.0868041831973437
Ae_searsii 1cM 0.00187921982119906 0.526539445349974 0.9 0.960248422541297 1.04898697032021e-09 0.00663549443249222 8.96967482228075e-10 0.00672482800642996 7.66662991355916e-10 0.573887716569126 -931.89457507933 -900.421588551812 -496.15637150263 0.0722291189277778 0.0956519066628484
Ae_searsii 1cM 0.00200545391968312 0.527106302443341 0.9 0.960109903978522 1.04769516440218e-09 0.00663161237603853 8.95466127626258e-10 0.00672086131985108 7.65338703051957e-10 0.573933156365881 -991.553825098342 -906.360727493613 -492.236959814512 0.170619307153389 0.112152429043878
Ae_searsii 1cM 0.00160597509829658 0.518132481422921 0.9 0.957912405047687 1.09017235360507e-09 0.00781582644520498 9.34941542823082e-10 0.00791274371756036 7.99341752761064e-10 0.572090131372179 -935.811261528613 -864.274395886878 -499.167451421168 0.163833458727222 0.0743027818411282
Ae_searsii 1cM 0.0017348985321152 0.52054106646825 0.9 0.960521761337258 1.05885693101739e-09 0.00669365801919428 9.05891039191919e-10 0.00678365206236321 7.7445209979208e-10 0.572599603855639 -925.684963574261 -830.7127995321 -442.317856481939 0.196480403090445 0.108686074580235
Ae_searsii 1cM 0.00215287213930333 0.531813614411123 0.9 0.957434006830996 1.12361609826863e-09 0.00658742038258765 9.55526144619748e-10 0.0066771204613482 8.1621335985647e-10 0.574310464047726 -1032.54810994003 -942.587483085301 -502.600324500335 0.169753755608375 0.101004505633108
Ae_searsii 1cM 0.00167066797124882 0.527247587980418 0.9 0.962829762861476 9.65751265729177e-10 0.00714273834528377 8.24755089972484e-10 0.00723423826234168 7.04928975139154e-10 0.574096046377611 -941.912291356506 -850.65433954803 -490.314780981744 0.202078066667695 0.119348660873473
Ae_searsii 1cM 0.00168500744213319 0.528078604782813 0.9 0.958352990434961 1.12173146504137e-09 0.0066006342107086 9.5961113106033e-10 0.00668335407345144 8.20167933943859e-10 0.574318352672519 -967.798402122035 -839.147399878004 -465.15858586146 0.255950678959618 0.142429670089317
Ae_searsii 1cM 0.00181792211720845 0.527699512203529 0.9 0.959563310356834 1.06886516319373e-09 0.00662720898367929 9.13452365599353e-10 0.00671620248477486 7.80702782082773e-10 0.573981008994605 -950.671823162258 -897.639398234084 -518.617660811532 0.122744853653614 0.0927852696664547
Ae_searsii 1cM 0.00159181305048506 0.519389427634025 0.9 0.959887660797064 1.08519419993403e-09 0.00671367013715781 9.28515401971196e-10 0.00680378726028814 7.93888289453273e-10 0.571389622574305 -935.811261528613 -822.327773819478 -440.923263942 0.229311456860043 0.0970555175014903
