piSmin	piSmax	rec.pi	slope.pi	medianpiS	f0min	f0max	rec.f0	medianf0	pimax.sd	f0min.sd	species
0.000316541562350555	0.00802878468204197	0.000927289666872606	0.00612129906017198	0.00185910314659617	0.0404528293019429	0.308574588767371	1.29317183168234	0.143081399116994	0.00182539727489097	0.0971691255642552	Ae_bicornis
0.0042484843804243	0.0112126999088696	0.010470301987659	0.0111227809814836	0.00864203787071002	0.0686944320382305	0.134660138084129	2	0.0885761903793225	0.000704699798987976	0.0120875247981472	Ae_caudata
0.00056329247812667	0.0111140268087974	0.0019252358970799	0.0100034590800269	0.00353706702329625	0.036217868200974	0.333313297541405	2	0.111071774079315	0.00199704479933861	0.0552338131128883	Ae_comosa
0.000851416350926584	0.0169784126859849	0.00306869243499033	0.0161061622197739	0.00587116529511152	0.031356100629897	0.280340013830504	1.85933333591956	0.104866751678416	0.00135199081134607	0.0304157824025005	Ae_longissima
0.0102428711265148	0.0335359224601525	0.0311328204742243	0.0366885795095942	0.0269416784105076	0.0597244623656704	0.121708999975843	2	0.0808113883458636	0.00146494147554371	0.0107160852520551	Ae_mutica
0.000123645132323615	0.0124881583646852	0.000293495368986318	0.00748486564757357	0.000613560354561914	-0.199295316580351	0.573967335455387	0.727582564726755	0.197272649665192	0.0288693225080151	1.02819370555076	Ae_searsii
0.000382084458352665	0.0157096693315058	0.00184199625484869	0.0194057189282025	0.00684450562422921	0.0483007612593055	0.275278192906518	2	0.103425672445766	0.00136785124080928	0.0266212110560356	Ae_sharonensis
0.0161239184659594	0.0342884580671354	0.0311704235433808	0.0312812165849164	0.0286808687610761	0.0359237423891755	0.106561587582111	0.966503573092815	0.0762460326275709	0.00137971756207609	0.0243203242813199	Ae_speltoides
0.00217927172265845	0.0113851586953043	0.0023407258886942	0.0037808698009494	0.00387097717102801	0.0453578665874565	0.26955848089287	1.07139824356935	0.158482277516914	0.00400934005188104	0.053642093624656	Ae_tauschii
0.000525549839992059	0.00497036839769273	0.00154759140318002	0.00409171645234126	0.00239719526338987	-0.0105179720751263	0.270142966081609	0.971749317921597	0.1335860335328	0.000922124419539613	0.0976707724433305	Ae_umbellulata
0.000945674354232173	0.0251180620385789	0.00117753064983778	0.0081249991424382	0.00216263835571619	-0.0326134492617393	0.231113828013177	0.58412238751428	0.150843264781252	0.0471427076658704	0.238581236705141	Ae_uniaristata
