Species Windows piS_obs piS_est Fis_obs Fis_est u1_est s1_est u2_est s2_est u3_est s3_est lnLNull lnLMax lnLSat R2deviance R2efron
Ae_caudata 1cM 0.0111120914259965 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3447.28332969573 -3295.96680001256 -2927.8506296042 0.291311135507076 0.0687550443069581
Ae_caudata 1cM 0.0115591699032106 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3536.58333170126 -3295.96680001256 -3029.68740536198 0.474686260405344 0.081146793960789
Ae_caudata 1cM 0.0101740481595691 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3413.70052507814 -3295.96680001256 -2881.32001533764 0.221145821290429 0.0463944112214097
Ae_caudata 1cM 0.0104656580589971 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3418.22729278311 -3295.96680001256 -2857.7621544391 0.218141119591829 0.0540696735186556
Ae_caudata 1cM 0.00977938552150098 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3469.27168846286 -3295.96680001256 -2868.67066185647 0.288552434599608 0.0677031854010796
Ae_caudata 1cM 0.0111308999690144 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3452.13071636114 -3295.96680001256 -2958.95613694379 0.316650376694348 0.0803558415309247
Ae_caudata 1cM 0.0107908900149372 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3393.92784769778 -3295.96680001256 -2890.52019606082 0.194595865530985 0.029766728599791
Ae_caudata 1cM 0.0103445163605721 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3403.27081213701 -3295.96680001256 -2880.74635069907 0.2053569163617 0.0289280705405642
Ae_caudata 1cM 0.0110259644447654 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3501.21240813844 -3295.96680001256 -2937.672081235 0.364207490267235 0.0680358643008901
Ae_caudata 1cM 0.0114811519425142 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3487.16789840092 -3295.96680001256 -2985.23292952635 0.380928029017522 0.0394534716229861
Ae_caudata 1cM 0.0104412369427424 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3370.87614096768 -3295.96680001256 -2867.84590908388 0.148916180792144 0.039758367745853
Ae_caudata 1cM 0.010686395633378 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3520.28796237301 -3295.96680001256 -2961.39146024074 0.401364405582492 0.0415241043388423
Ae_caudata 1cM 0.0105159836687941 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3407.33318124927 -3295.96680001256 -2886.12641721302 0.213670253191432 0.0324859631609161
Ae_caudata 1cM 0.0103895813549959 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3440.86068658996 -3295.96680001256 -2876.57114124255 0.256772232929093 0.0574450280535022
Ae_caudata 1cM 0.0110299098186891 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3470.33476890285 -3295.96680001256 -2940.5893180803 0.329154254405667 0.0537862737472096
Ae_caudata 1cM 0.0107015589325169 1000 0.6 0.126320490454756 9.99999999995546e-08 1 9.99999999995546e-11 0.999999352173498 9.99999999995546e-14 0.999999999374785 -3501.63162066191 -3295.96680001256 -2993.21484182315 0.404520128385806 0.0918910215105139
